,Average Fitness,Best Individual,Fitness Best,Fitness Worst
1,650.02,[1 1 1 ... 1 1 1],1225,105
2,888.78,[1 1 1 ... 1 1 1],1225,194
3,1039.9,[1 1 1 ... 1 1 1],1225,410
4,1098.94,[1 1 1 ... 1 1 1],1225,410
5,1142.4,[1 1 1 ... 1 1 1],1225,691
6,1153.58,[1 1 1 ... 1 1 1],1225,691
7,1174.32,[1 1 1 ... 1 1 0],1223,1044
8,1186.86,[1 1 1 ... 1 1 0],1223,1063
9,1196.46,[1 1 1 ... 1 1 1],1224,1144
10,1202.52,[1 1 1 ... 1 1 0],1223,1175
11,1207.14,[1 1 1 ... 1 1 1],1224,1175
12,1209.85,[1 1 1 ... 1 1 1],1224,1195
13,1213.37,[1 1 1 ... 1 1 1],1224,1196
14,1216.09,[1 1 1 ... 1 1 1],1224,1199
15,1218.31,[1 1 1 ... 1 1 1],1224,1199
16,1219.34,[1 1 1 ... 1 1 1],1224,1210
17,1220.13,[1 1 1 ... 1 1 1],1224,1213
18,1221.21,[1 1 1 ... 1 1 1],1224,1214
19,1221.3,[1 1 1 ... 1 1 1],1224,1215
20,1221.43,[1 1 1 ... 1 1 1],1224,1218
21,1221.78,[1 1 1 ... 1 1 1],1224,1219
