mu,nu,psi,H,Combination
0.0,0.0,0.0,0.8067050313327236,Immune-Susceptible
0.0,0.0,0.0,0.9967046034794769,Immune-Highly Susceptible
0.0,0.0,0.0,0.1900333940855315,Susceptible-Highly Susceptible
0.0,0.0,0.05,0.8017578664971234,Immune-Susceptible
0.0,0.0,0.05,0.9965311886438767,Immune-Highly Susceptible
0.0,0.0,0.05,0.2032831633371691,Susceptible-Highly Susceptible
0.0,0.0,0.1,0.8159789333464565,Immune-Susceptible
0.0,0.0,0.1,0.9963385054932098,Immune-Highly Susceptible
0.0,0.0,0.1,0.19643709039836832,Susceptible-Highly Susceptible
0.0,0.0,0.15000000000000002,0.7968811024231623,Immune-Susceptible
0.0,0.0,0.15000000000000002,0.9961231537365823,Immune-Highly Susceptible
0.0,0.0,0.15000000000000002,0.22624939589329793,Susceptible-Highly Susceptible
0.0,0.0,0.2,0.8534813108636229,Immune-Susceptible
0.0,0.0,0.2,0.995880883010376,Immune-Highly Susceptible
0.0,0.0,0.2,0.1718859212375247,Susceptible-Highly Susceptible
0.0,0.0,0.25,0.8005286123739226,Immune-Susceptible
0.0,0.0,0.25,0.9956063095206759,Immune-Highly Susceptible
0.0,0.0,0.25,0.23945419021530084,Susceptible-Highly Susceptible
0.0,0.0,0.30000000000000004,0.8726062724333127,Immune-Susceptible
0.0,0.0,0.30000000000000004,0.9952925112467328,Immune-Highly Susceptible
0.0,0.0,0.30000000000000004,0.1623124370832711,Susceptible-Highly Susceptible
0.0,0.0,0.35000000000000003,0.880265417125034,Immune-Susceptible
0.0,0.0,0.35000000000000003,0.9949304363152597,Immune-Highly Susceptible
0.0,0.0,0.35000000000000003,0.1634915121400935,Susceptible-Highly Susceptible
0.0,0.0,0.4,0.8610204434151215,Immune-Susceptible
0.0,0.0,0.4,0.9945080155618747,Immune-Highly Susceptible
0.0,0.0,0.4,0.19854027935665125,Susceptible-Highly Susceptible
0.0,0.0,0.45,0.8896833855550604,Immune-Susceptible
0.0,0.0,0.45,0.994008791035147,Immune-Highly Susceptible
0.0,0.0,0.45,0.16442237780824323,Susceptible-Highly Susceptible
0.0,0.0,0.5,0.8750768161229872,Immune-Susceptible
0.0,0.0,0.5,0.9934097216030737,Immune-Highly Susceptible
0.0,0.0,0.5,0.20281762138149073,Susceptible-Highly Susceptible
0.0,0.0,0.55,0.8868883909837864,Immune-Susceptible
0.0,0.0,0.55,0.9926775256305397,Immune-Highly Susceptible
0.0,0.0,0.55,0.18660456876985207,Susceptible-Highly Susceptible
0.0,0.0,0.6000000000000001,0.9176293751847853,Immune-Susceptible
0.0,0.0,0.6000000000000001,0.991762280664872,Immune-Highly Susceptible
0.0,0.0,0.6000000000000001,0.15390117713577117,Susceptible-Highly Susceptible
0.0,0.0,0.65,0.9174417983241654,Immune-Susceptible
0.0,0.0,0.65,0.9905855371375852,Immune-Highly Susceptible
0.0,0.0,0.65,0.1528503415888841,Susceptible-Highly Susceptible
0.0,0.0,0.7000000000000001,0.931836973621116,Immune-Susceptible
0.0,0.0,0.7000000000000001,0.9890165457678692,Immune-Highly Susceptible
0.0,0.0,0.7000000000000001,0.13535387096772286,Susceptible-Highly Susceptible
0.0,0.0,0.75,0.9198119221618472,Immune-Susceptible
0.0,0.0,0.75,0.9868199578502671,Immune-Highly Susceptible
0.0,0.0,0.75,0.15323213477651718,Susceptible-Highly Susceptible
0.0,0.0,0.8,0.9343361704937773,Immune-Susceptible
0.0,0.0,0.8,0.9835250759738638,Immune-Highly Susceptible
0.0,0.0,0.8,0.1248574681792018,Susceptible-Highly Susceptible
0.0,0.0,0.8500000000000001,0.9434865340331051,Immune-Susceptible
0.0,0.0,0.8500000000000001,0.9780336061798585,Immune-Highly Susceptible
0.0,0.0,0.8500000000000001,0.1017582358297853,Susceptible-Highly Susceptible
0.0,0.0,0.9,0.9400076829999758,Immune-Susceptible
0.0,0.0,0.9,0.9670506665918481,Immune-Highly Susceptible
0.0,0.0,0.9,0.0847839123010813,Susceptible-Highly Susceptible
0.0,0.0,0.9500000000000001,0.925185206023487,Immune-Susceptible
0.0,0.0,0.9500000000000001,0.9341018615035735,Immune-Highly Susceptible
0.0,0.0,0.9500000000000001,0.041287258386703454,Susceptible-Highly Susceptible
0.0,0.05,0.0,0.8042470948247871,Immune-Susceptible
0.0,0.05,0.0,0.9833448812572544,Immune-Highly Susceptible
0.0,0.05,0.0,0.19346021976529837,Susceptible-Highly Susceptible
0.0,0.05,0.05,0.7795271776035416,Immune-Susceptible
0.0,0.05,0.05,0.983403102745126,Immune-Highly Susceptible
0.0,0.05,0.05,0.21701519411487633,Susceptible-Highly Susceptible
0.0,0.05,0.1,0.8115984822056656,Immune-Susceptible
0.0,0.05,0.1,0.9821435422952012,Immune-Highly Susceptible
0.0,0.05,0.1,0.19303052844432378,Susceptible-Highly Susceptible
0.0,0.05,0.15000000000000002,0.7971331535027251,Immune-Susceptible
0.0,0.05,0.15000000000000002,0.9806778210129251,Immune-Highly Susceptible
0.0,0.05,0.15000000000000002,0.2149065826999407,Susceptible-Highly Susceptible
0.0,0.05,0.2,0.8212936969934623,Immune-Susceptible
0.0,0.05,0.2,0.9819683622590717,Immune-Highly Susceptible
0.0,0.05,0.2,0.1965803911551005,Susceptible-Highly Susceptible
0.0,0.05,0.25,0.831489446416237,Immune-Susceptible
0.0,0.05,0.25,0.9803952685629902,Immune-Highly Susceptible
0.0,0.05,0.25,0.19223621752310616,Susceptible-Highly Susceptible
0.0,0.05,0.30000000000000004,0.8213594264634569,Immune-Susceptible
0.0,0.05,0.30000000000000004,0.9783511358211291,Immune-Highly Susceptible
0.0,0.05,0.30000000000000004,0.21110973468396987,Susceptible-Highly Susceptible
0.0,0.05,0.35000000000000003,0.8631608547933282,Immune-Susceptible
0.0,0.05,0.35000000000000003,0.9766896482950093,Immune-Highly Susceptible
0.0,0.05,0.35000000000000003,0.17003771254644456,Susceptible-Highly Susceptible
0.0,0.05,0.4,0.8507660958710013,Immune-Susceptible
0.0,0.05,0.4,0.97625054345469,Immune-Highly Susceptible
0.0,0.05,0.4,0.18721978086797428,Susceptible-Highly Susceptible
0.0,0.05,0.45,0.851017525584163,Immune-Susceptible
0.0,0.05,0.45,0.974955014397583,Immune-Highly Susceptible
0.0,0.05,0.45,0.19749386457008508,Susceptible-Highly Susceptible
