mu,nu,psi,H,Combination
0.0,0.0,0.0,0.1414217000123315,Immune-Susceptible
0.0,0.0,0.0,0.2886751533277367,Immune-Highly Susceptible
0.0,0.0,0.0,0.282845498169873,Susceptible-Highly Susceptible
0.0,0.0,0.05,0.12926125659323434,Immune-Susceptible
0.0,0.0,0.05,0.3058466602162323,Immune-Highly Susceptible
0.0,0.0,0.05,0.28877219952384064,Susceptible-Highly Susceptible
0.0,0.0,0.1,0.15352207386512665,Immune-Susceptible
0.0,0.0,0.1,0.30139852589656607,Immune-Highly Susceptible
0.0,0.0,0.1,0.29071101715379094,Susceptible-Highly Susceptible
0.0,0.0,0.15000000000000002,0.1305768090052994,Immune-Susceptible
0.0,0.0,0.15000000000000002,0.2976259570491595,Immune-Highly Susceptible
0.0,0.0,0.15000000000000002,0.28595363171859756,Susceptible-Highly Susceptible
0.0,0.0,0.2,0.15588461692018576,Immune-Susceptible
0.0,0.0,0.2,0.3166396507838512,Immune-Highly Susceptible
0.0,0.0,0.2,0.30554189402944726,Susceptible-Highly Susceptible
0.0,0.0,0.25,0.14605935305686832,Immune-Susceptible
0.0,0.0,0.25,0.2980817967583497,Immune-Highly Susceptible
0.0,0.0,0.25,0.28614888607881506,Susceptible-Highly Susceptible
0.0,0.0,0.30000000000000004,0.14824986776842944,Immune-Susceptible
0.0,0.0,0.30000000000000004,0.299379287566675,Immune-Highly Susceptible
0.0,0.0,0.30000000000000004,0.2915546437603798,Susceptible-Highly Susceptible
0.0,0.0,0.35000000000000003,0.15094715149642335,Immune-Susceptible
0.0,0.0,0.35000000000000003,0.31396299337123323,Immune-Highly Susceptible
0.0,0.0,0.35000000000000003,0.3030227507992594,Susceptible-Highly Susceptible
0.0,0.0,0.4,0.16666646780143168,Immune-Susceptible
0.0,0.0,0.4,0.3187136653696488,Immune-Highly Susceptible
0.0,0.0,0.4,0.3078286262746823,Susceptible-Highly Susceptible
0.0,0.0,0.45,0.15836150494208245,Immune-Susceptible
0.0,0.0,0.45,0.32476387854479455,Immune-Highly Susceptible
0.0,0.0,0.45,0.31353612101701617,Susceptible-Highly Susceptible
0.0,0.0,0.5,0.14907121218463895,Immune-Susceptible
0.0,0.0,0.5,0.3224799072911318,Immune-Highly Susceptible
0.0,0.0,0.5,0.31407001028791237,Susceptible-Highly Susceptible
0.0,0.0,0.55,0.1693278202391744,Immune-Susceptible
0.0,0.0,0.55,0.3401856602753548,Immune-Highly Susceptible
0.0,0.0,0.55,0.32260443674600664,Susceptible-Highly Susceptible
0.0,0.0,0.6000000000000001,0.19090743078118738,Immune-Susceptible
0.0,0.0,0.6000000000000001,0.3650565389914188,Immune-Highly Susceptible
0.0,0.0,0.6000000000000001,0.35419616584931246,Susceptible-Highly Susceptible
0.0,0.0,0.65,0.1698736217368782,Immune-Susceptible
0.0,0.0,0.65,0.38811862570099714,Immune-Highly Susceptible
0.0,0.0,0.65,0.36795694018905417,Susceptible-Highly Susceptible
0.0,0.0,0.7000000000000001,0.1979687711149767,Immune-Susceptible
0.0,0.0,0.7000000000000001,0.40188013698014097,Immune-Highly Susceptible
0.0,0.0,0.7000000000000001,0.38452830079555517,Susceptible-Highly Susceptible
0.0,0.0,0.75,0.19511807838638465,Immune-Susceptible
0.0,0.0,0.75,0.43517934600749236,Immune-Highly Susceptible
0.0,0.0,0.75,0.40987557610068526,Susceptible-Highly Susceptible
0.0,0.0,0.8,0.23431874002572825,Immune-Susceptible
0.0,0.0,0.8,0.46525729890843714,Immune-Highly Susceptible
0.0,0.0,0.8,0.4367614516528198,Susceptible-Highly Susceptible
0.0,0.0,0.8500000000000001,0.2597098857956021,Immune-Susceptible
0.0,0.0,0.8500000000000001,0.5180634783157472,Immune-Highly Susceptible
0.0,0.0,0.8500000000000001,0.46999129467957834,Susceptible-Highly Susceptible
0.0,0.0,0.9,0.3119695523575998,Immune-Susceptible
0.0,0.0,0.9,0.5824119271185889,Immune-Highly Susceptible
0.0,0.0,0.9,0.5021797030337449,Susceptible-Highly Susceptible
0.0,0.0,0.9500000000000001,0.3941223566888742,Immune-Susceptible
0.0,0.0,0.9500000000000001,0.7021688386311821,Immune-Highly Susceptible
0.0,0.0,0.9500000000000001,0.5205371332767897,Susceptible-Highly Susceptible
0.0,0.05,0.0,0.14125511410107816,Immune-Susceptible
0.0,0.05,0.0,0.3049765555734165,Immune-Highly Susceptible
0.0,0.05,0.0,0.2951627313236234,Susceptible-Highly Susceptible
0.0,0.05,0.05,0.15261167136668272,Immune-Susceptible
0.0,0.05,0.05,0.2997279841214827,Immune-Highly Susceptible
0.0,0.05,0.05,0.28904517215261616,Susceptible-Highly Susceptible
0.0,0.05,0.1,0.14193946209813763,Immune-Susceptible
0.0,0.05,0.1,0.2893065841350441,Immune-Highly Susceptible
0.0,0.05,0.1,0.28405962148312613,Susceptible-Highly Susceptible
0.0,0.05,0.15000000000000002,0.14203924338252624,Immune-Susceptible
0.0,0.05,0.15000000000000002,0.2908447879379673,Immune-Highly Susceptible
0.0,0.05,0.15000000000000002,0.2801915779364807,Susceptible-Highly Susceptible
0.0,0.05,0.2,0.16594420137369822,Immune-Susceptible
0.0,0.05,0.2,0.31067191524592946,Immune-Highly Susceptible
0.0,0.05,0.2,0.30120173169702896,Susceptible-Highly Susceptible
0.0,0.05,0.25,0.14571026803798762,Immune-Susceptible
0.0,0.05,0.25,0.30771406523884665,Immune-Highly Susceptible
0.0,0.05,0.25,0.30059565072550565,Susceptible-Highly Susceptible
0.0,0.05,0.30000000000000004,0.13514456263277871,Immune-Susceptible
0.0,0.05,0.30000000000000004,0.2942822330167192,Immune-Highly Susceptible
0.0,0.05,0.30000000000000004,0.2894561898785488,Susceptible-Highly Susceptible
0.0,0.05,0.35000000000000003,0.14832277996386767,Immune-Susceptible
0.0,0.05,0.35000000000000003,0.31046014793665644,Immune-Highly Susceptible
0.0,0.05,0.35000000000000003,0.30644667873946774,Susceptible-Highly Susceptible
0.0,0.05,0.4,0.16515465122760636,Immune-Susceptible
0.0,0.05,0.4,0.34414244497359986,Immune-Highly Susceptible
0.0,0.05,0.4,0.33010860239361633,Susceptible-Highly Susceptible
0.0,0.05,0.45,0.1562302526234926,Immune-Susceptible
0.0,0.05,0.45,0.3297704882266148,Immune-Highly Susceptible
0.0,0.05,0.45,0.3202262630688161,Susceptible-Highly Susceptible
0.0,0.05,0.5,0.14780404741392314,Immune-Susceptible
0.0,0.05,0.5,0.3349219783863771,Immune-Highly Susceptible
0.0,0.05,0.5,0.3208786929068023,Susceptible-Highly Susceptible
0.0,0.05,0.55,0.18099040440408262,Immune-Susceptible
0.0,0.05,0.55,0.36128223940859255,Immune-Highly Susceptible
0.0,0.05,0.55,0.35210588359753076,Susceptible-Highly Susceptible
0.0,0.05,0.6000000000000001,0.1745462139575669,Immune-Susceptible
0.0,0.05,0.6000000000000001,0.34827368818187027,Immune-Highly Susceptible
0.0,0.05,0.6000000000000001,0.3352817379920547,Susceptible-Highly Susceptible
0.0,0.05,0.65,0.19089631101386076,Immune-Susceptible
0.0,0.05,0.65,0.3531101933265038,Immune-Highly Susceptible
0.0,0.05,0.65,0.34255316742667336,Susceptible-Highly Susceptible
0.0,0.05,0.7000000000000001,0.1919420233228694,Immune-Susceptible
0.0,0.05,0.7000000000000001,0.38781325953114554,Immune-Highly Susceptible
