mu,nu,psi,H,Combination
0.0,0.0,0.0,0.14142148168147167,Immune-Susceptible
0.0,0.0,0.0,0.2943920951659291,Immune-Highly Susceptible
0.0,0.0,0.0,0.27835317151121663,Susceptible-Highly Susceptible
0.0,0.0,0.05,0.12926816660272367,Immune-Susceptible
0.0,0.0,0.05,0.27107884067027993,Immune-Highly Susceptible
0.0,0.0,0.05,0.271078971638674,Susceptible-Highly Susceptible
0.0,0.0,0.1,0.1005129099749987,Immune-Susceptible
0.0,0.0,0.1,0.2657174436665225,Immune-Highly Susceptible
0.0,0.0,0.1,0.2608562212515629,Susceptible-Highly Susceptible
0.0,0.0,0.15,0.13056973543607653,Immune-Susceptible
0.0,0.0,0.15,0.27377781487499253,Immune-Highly Susceptible
0.0,0.0,0.15,0.26746938210488735,Susceptible-Highly Susceptible
0.0,0.0,0.2,0.1178539511046313,Immune-Susceptible
0.0,0.0,0.2,0.25631492429622127,Immune-Highly Susceptible
0.0,0.0,0.2,0.24939974420147176,Susceptible-Highly Susceptible
0.0,0.0,0.25,0.13340589902258326,Immune-Susceptible
0.0,0.0,0.25,0.2916872226860954,Immune-Highly Susceptible
0.0,0.0,0.25,0.2864803500677871,Susceptible-Highly Susceptible
0.0,0.0,0.3,0.13537934980875316,Immune-Susceptible
0.0,0.0,0.3,0.2902471845319745,Immune-Highly Susceptible
0.0,0.0,0.3,0.28855238100939606,Susceptible-Highly Susceptible
0.0,0.0,0.35,0.1495017030721037,Immune-Susceptible
0.0,0.0,0.35,0.2806595241641413,Immune-Highly Susceptible
0.0,0.0,0.35,0.274882394313316,Susceptible-Highly Susceptible
0.0,0.0,0.4,0.15430900930242217,Immune-Susceptible
0.0,0.0,0.4,0.2882937986797049,Immune-Highly Susceptible
0.0,0.0,0.4,0.2827177569578527,Susceptible-Highly Susceptible
0.0,0.0,0.45,0.12930491356037338,Immune-Susceptible
0.0,0.0,0.45,0.3054703121101557,Immune-Highly Susceptible
0.0,0.0,0.45,0.29990723833479194,Susceptible-Highly Susceptible
0.0,0.0,0.5,0.13333336304868462,Immune-Susceptible
0.0,0.0,0.5,0.29563553997102093,Immune-Highly Susceptible
0.0,0.0,0.5,0.288815710516131,Susceptible-Highly Susceptible
0.0,0.0,0.55,0.15461482590786133,Immune-Susceptible
0.0,0.0,0.55,0.3133208635204959,Immune-Highly Susceptible
0.0,0.0,0.55,0.30575360181635297,Susceptible-Highly Susceptible
0.0,0.0,0.6,0.1443391959859261,Immune-Susceptible
0.0,0.0,0.6,0.3191087603570874,Immune-Highly Susceptible
0.0,0.0,0.6,0.30769512425795786,Susceptible-Highly Susceptible
0.0,0.0,0.65,0.1689275043087732,Immune-Susceptible
0.0,0.0,0.65,0.33626024427832646,Immune-Highly Susceptible
0.0,0.0,0.65,0.32762576791179243,Susceptible-Highly Susceptible
0.0,0.0,0.7,0.18076096770120795,Immune-Susceptible
0.0,0.0,0.7,0.38150792718210036,Immune-Highly Susceptible
0.0,0.0,0.7,0.36577297316547147,Susceptible-Highly Susceptible
0.0,0.0,0.75,0.17330189744212063,Immune-Susceptible
0.0,0.0,0.75,0.3576682881358677,Immune-Highly Susceptible
0.0,0.0,0.75,0.344234201785454,Susceptible-Highly Susceptible
0.0,0.0,0.8,0.21517460868043609,Immune-Susceptible
0.0,0.0,0.8,0.4110586075476566,Immune-Highly Susceptible
0.0,0.0,0.8,0.3777911360004586,Susceptible-Highly Susceptible
0.0,0.0,0.85,0.21463330892854066,Immune-Susceptible
0.0,0.0,0.85,0.4714371018630413,Immune-Highly Susceptible
0.0,0.0,0.85,0.43364993624797726,Susceptible-Highly Susceptible
0.0,0.0,0.9,0.26283621274151925,Immune-Susceptible
0.0,0.0,0.9,0.49068091400645786,Immune-Highly Susceptible
0.0,0.0,0.9,0.4440565407459419,Susceptible-Highly Susceptible
0.0,0.0,0.95,0.3598937822516294,Immune-Susceptible
0.0,0.0,0.95,0.6380551488017046,Immune-Highly Susceptible
0.0,0.0,0.95,0.49746686155217196,Susceptible-Highly Susceptible
0.0,0.0,1.0,0.39687263677736523,Immune-Susceptible
0.0,0.0,1.0,0.9127519036230912,Immune-Highly Susceptible
0.0,0.0,1.0,0.8832028064960534,Susceptible-Highly Susceptible
0.0,0.05,0.0,0.12896352485530843,Immune-Susceptible
0.0,0.05,0.0,0.27625022166463026,Immune-Highly Susceptible
0.0,0.05,0.0,0.27670111429670985,Susceptible-Highly Susceptible
0.0,0.05,0.05,0.11569776944401931,Immune-Susceptible
0.0,0.05,0.05,0.27499896073433405,Immune-Highly Susceptible
0.0,0.05,0.05,0.2719799088316728,Susceptible-Highly Susceptible
0.0,0.05,0.1,0.11617966922756363,Immune-Susceptible
0.0,0.05,0.1,0.2716528622365694,Immune-Highly Susceptible
0.0,0.05,0.1,0.2720551488250991,Susceptible-Highly Susceptible
0.0,0.05,0.15,0.11697381754482199,Immune-Susceptible
0.0,0.05,0.15,0.25405152438002354,Immune-Highly Susceptible
0.0,0.05,0.15,0.24758399961543273,Susceptible-Highly Susceptible
0.0,0.05,0.2,0.11790458561296956,Immune-Susceptible
0.0,0.05,0.2,0.27807126232597934,Immune-Highly Susceptible
0.0,0.05,0.2,0.2768582823184796,Susceptible-Highly Susceptible
0.0,0.05,0.25,0.13339982586512905,Immune-Susceptible
0.0,0.05,0.25,0.2845141815705096,Immune-Highly Susceptible
0.0,0.05,0.25,0.27892839499714495,Susceptible-Highly Susceptible
0.0,0.05,0.3,0.13491298825272097,Immune-Susceptible
0.0,0.05,0.3,0.27673509802225077,Immune-Highly Susceptible
0.0,0.05,0.3,0.27069386786414606,Susceptible-Highly Susceptible
0.0,0.05,0.35,0.12306888094903182,Immune-Susceptible
0.0,0.05,0.35,0.276433869897452,Immune-Highly Susceptible
0.0,0.05,0.35,0.27745796062157624,Susceptible-Highly Susceptible
0.0,0.05,0.4,0.13983443772251541,Immune-Susceptible
0.0,0.05,0.4,0.28169418691219167,Immune-Highly Susceptible
0.0,0.05,0.4,0.28192733650477003,Susceptible-Highly Susceptible
0.0,0.05,0.45,0.11195694983517025,Immune-Susceptible
0.0,0.05,0.45,0.2736083363742913,Immune-Highly Susceptible
0.0,0.05,0.45,0.26700062117901896,Susceptible-Highly Susceptible
0.0,0.05,0.5,0.13288551456206246,Immune-Susceptible
0.0,0.05,0.5,0.30352525268800384,Immune-Highly Susceptible
0.0,0.05,0.5,0.29825157608503544,Susceptible-Highly Susceptible
0.0,0.05,0.55,0.13624729487476295,Immune-Susceptible
0.0,0.05,0.55,0.31675269604969,Immune-Highly Susceptible
0.0,0.05,0.55,0.311841956982405,Susceptible-Highly Susceptible
0.0,0.05,0.6,0.15697424331976687,Immune-Susceptible
0.0,0.05,0.6,0.32541205098141696,Immune-Highly Susceptible
0.0,0.05,0.6,0.3141702161775302,Susceptible-Highly Susceptible
0.0,0.05,0.65,0.18296806154616851,Immune-Susceptible
