mu,nu,psi,H,Combination
0.0,0.0,0.0,0.2708013099827862,Immune-Susceptible
0.0,0.0,0.0,0.6683312563296597,Immune-Highly Susceptible
0.0,0.0,0.0,0.6570485699176183,Susceptible-Highly Susceptible
0.0,0.0,0.05,0.2771191565606499,Immune-Susceptible
0.0,0.0,0.05,0.6784688504108493,Immune-Highly Susceptible
0.0,0.0,0.05,0.6602354911865145,Susceptible-Highly Susceptible
0.0,0.0,0.1,0.2781614148464522,Immune-Susceptible
0.0,0.0,0.1,0.6800807673632852,Immune-Highly Susceptible
0.0,0.0,0.1,0.6602736065443172,Susceptible-Highly Susceptible
0.0,0.0,0.15,0.30304315648436714,Immune-Susceptible
0.0,0.0,0.15,0.6600591589375766,Immune-Highly Susceptible
0.0,0.0,0.15,0.6357535999225634,Susceptible-Highly Susceptible
0.0,0.0,0.2,0.2823502873509192,Immune-Susceptible
0.0,0.0,0.2,0.6918655120981363,Immune-Highly Susceptible
0.0,0.0,0.2,0.6620669061532054,Susceptible-Highly Susceptible
0.0,0.0,0.25,0.27924694916797765,Immune-Susceptible
0.0,0.0,0.25,0.6725206952689112,Immune-Highly Susceptible
0.0,0.0,0.25,0.6428096883672699,Susceptible-Highly Susceptible
0.0,0.0,0.3,0.2947177087936099,Immune-Susceptible
0.0,0.0,0.3,0.6769713913827379,Immune-Highly Susceptible
0.0,0.0,0.3,0.6415727750483975,Susceptible-Highly Susceptible
0.0,0.0,0.35,0.28149765169977264,Immune-Susceptible
0.0,0.0,0.35,0.6879142492281258,Immune-Highly Susceptible
0.0,0.0,0.35,0.6492202179145901,Susceptible-Highly Susceptible
0.0,0.0,0.4,0.3061474776536449,Immune-Susceptible
0.0,0.0,0.4,0.6950557133480838,Immune-Highly Susceptible
0.0,0.0,0.4,0.6452241740856431,Susceptible-Highly Susceptible
0.0,0.0,0.45,0.3201868709955652,Immune-Susceptible
0.0,0.0,0.45,0.7095801714016383,Immune-Highly Susceptible
0.0,0.0,0.45,0.6423823297611407,Susceptible-Highly Susceptible
0.0,0.0,0.5,0.2995877441077701,Immune-Susceptible
0.0,0.0,0.5,0.7213460457185479,Immune-Highly Susceptible
0.0,0.0,0.5,0.6590233531423608,Susceptible-Highly Susceptible
0.0,0.0,0.55,0.3129899479722423,Immune-Susceptible
0.0,0.0,0.55,0.7415959293630556,Immune-Highly Susceptible
0.0,0.0,0.55,0.6708464873547698,Susceptible-Highly Susceptible
0.0,0.0,0.6,0.34340012660977653,Immune-Susceptible
0.0,0.0,0.6,0.7408061378518115,Immune-Highly Susceptible
0.0,0.0,0.6,0.6600438076148661,Susceptible-Highly Susceptible
0.0,0.0,0.65,0.3624686000759274,Immune-Susceptible
0.0,0.0,0.65,0.7506200487585596,Immune-Highly Susceptible
0.0,0.0,0.65,0.6640096762381053,Susceptible-Highly Susceptible
0.0,0.0,0.7,0.38478061717578266,Immune-Susceptible
0.0,0.0,0.7,0.7763091836872443,Immune-Highly Susceptible
0.0,0.0,0.7,0.677002596812705,Susceptible-Highly Susceptible
0.0,0.0,0.75,0.4239562611760427,Immune-Susceptible
0.0,0.0,0.75,0.789200752722667,Immune-Highly Susceptible
0.0,0.0,0.75,0.6965884384284917,Susceptible-Highly Susceptible
0.0,0.0,0.8,0.43297260267361126,Immune-Susceptible
0.0,0.0,0.8,0.8102932659095654,Immune-Highly Susceptible
0.0,0.0,0.8,0.7104757811560585,Susceptible-Highly Susceptible
0.0,0.0,0.85,0.5149402702404166,Immune-Susceptible
0.0,0.0,0.85,0.8552356374890951,Immune-Highly Susceptible
0.0,0.0,0.85,0.6871272820247791,Susceptible-Highly Susceptible
0.0,0.0,0.9,0.550338786083871,Immune-Susceptible
0.0,0.0,0.9,0.8883557428832675,Immune-Highly Susceptible
0.0,0.0,0.9,0.7482884903094944,Susceptible-Highly Susceptible
0.0,0.0,0.95,0.6635759742028547,Immune-Susceptible
0.0,0.0,0.95,0.9094693509191973,Immune-Highly Susceptible
0.0,0.0,0.95,0.628422473931802,Susceptible-Highly Susceptible
0.0,0.0,1.0,0.7762071569007402,Immune-Susceptible
0.0,0.0,1.0,0.9764435470004792,Immune-Highly Susceptible
0.0,0.0,1.0,0.37589130452140357,Susceptible-Highly Susceptible
0.0,0.05,0.0,0.2687042537029734,Immune-Susceptible
0.0,0.05,0.0,0.6579643294375324,Immune-Highly Susceptible
0.0,0.05,0.0,0.6430860256832885,Susceptible-Highly Susceptible
0.0,0.05,0.05,0.2855545976969371,Immune-Susceptible
0.0,0.05,0.05,0.644093510070611,Immune-Highly Susceptible
0.0,0.05,0.05,0.6287547878414537,Susceptible-Highly Susceptible
0.0,0.05,0.1,0.2745305710047649,Immune-Susceptible
0.0,0.05,0.1,0.662637177487814,Immune-Highly Susceptible
0.0,0.05,0.1,0.6459362783726804,Susceptible-Highly Susceptible
