mu,nu,psi,H,Combination
0.0,0.0,0.0,0.14147135922411755,Immune-Susceptible
0.0,0.0,0.0,0.2769074469774094,Immune-Highly Susceptible
0.0,0.0,0.0,0.27183709701124736,Susceptible-Highly Susceptible
0.0,0.0,0.05,0.1157400947301508,Immune-Susceptible
0.0,0.0,0.05,0.26488787314247764,Immune-Highly Susceptible
0.0,0.0,0.05,0.2578895779762442,Susceptible-Highly Susceptible
0.0,0.0,0.1,0.14213669525591385,Immune-Susceptible
0.0,0.0,0.1,0.2594378514841366,Immune-Highly Susceptible
0.0,0.0,0.1,0.25288426129417246,Susceptible-Highly Susceptible
0.0,0.0,0.15,0.13057679781253045,Immune-Susceptible
0.0,0.0,0.15,0.2739002015954917,Immune-Highly Susceptible
0.0,0.0,0.15,0.2676560855651992,Susceptible-Highly Susceptible
0.0,0.0,0.2,0.11801913308942696,Immune-Susceptible
0.0,0.0,0.2,0.2557559494014899,Immune-Highly Susceptible
0.0,0.0,0.2,0.25001412614524327,Susceptible-Highly Susceptible
0.0,0.0,0.25,0.13333890217864247,Immune-Susceptible
0.0,0.0,0.25,0.2916665193356766,Immune-Highly Susceptible
0.0,0.0,0.25,0.2911201134694385,Susceptible-Highly Susceptible
0.0,0.0,0.3,0.14824997742271237,Immune-Susceptible
0.0,0.0,0.3,0.28899981158924837,Immune-Highly Susceptible
0.0,0.0,0.3,0.28420949279433616,Susceptible-Highly Susceptible
0.0,0.0,0.35,0.1213645163127213,Immune-Susceptible
0.0,0.0,0.35,0.3008562335521057,Immune-Highly Susceptible
0.0,0.0,0.35,0.2970694550952206,Susceptible-Highly Susceptible
0.0,0.0,0.4,0.15430478958386556,Immune-Susceptible
0.0,0.0,0.4,0.3068299246146116,Immune-Highly Susceptible
0.0,0.0,0.4,0.3024234576200556,Susceptible-Highly Susceptible
0.0,0.0,0.45,0.1584703016743232,Immune-Susceptible
0.0,0.0,0.45,0.2986475596986303,Immune-Highly Susceptible
0.0,0.0,0.45,0.28935278101344536,Susceptible-Highly Susceptible
0.0,0.0,0.5,0.1335165544849711,Immune-Susceptible
0.0,0.0,0.5,0.2743500418913063,Immune-Highly Susceptible
0.0,0.0,0.5,0.27174091344622114,Susceptible-Highly Susceptible
0.0,0.0,0.55,0.13845022153865505,Immune-Susceptible
0.0,0.0,0.55,0.32219202173688305,Immune-Highly Susceptible
0.0,0.0,0.55,0.3137541367851821,Susceptible-Highly Susceptible
0.0,0.0,0.6,0.16138235847746965,Immune-Susceptible
0.0,0.0,0.6,0.33995128556209325,Immune-Highly Susceptible
0.0,0.0,0.6,0.33393178492930964,Susceptible-Highly Susceptible
0.0,0.0,0.65,0.1698359747488421,Immune-Susceptible
0.0,0.0,0.65,0.33353331607584985,Immune-Highly Susceptible
0.0,0.0,0.65,0.3243763485992487,Susceptible-Highly Susceptible
0.0,0.0,0.7,0.18080471322874228,Immune-Susceptible
0.0,0.0,0.7,0.366002586371082,Immune-Highly Susceptible
0.0,0.0,0.7,0.3571099092570387,Susceptible-Highly Susceptible
0.0,0.0,0.75,0.19525782116504142,Immune-Susceptible
0.0,0.0,0.75,0.39184699306643556,Immune-Highly Susceptible
0.0,0.0,0.75,0.38234300686541867,Susceptible-Highly Susceptible
0.0,0.0,0.8,0.2152843285301936,Immune-Susceptible
0.0,0.0,0.8,0.4012231386507548,Immune-Highly Susceptible
0.0,0.0,0.8,0.3863726738153004,Susceptible-Highly Susceptible
0.0,0.0,0.85,0.26689255640420595,Immune-Susceptible
0.0,0.0,0.85,0.501538490440012,Immune-Highly Susceptible
0.0,0.0,0.85,0.4552982822477394,Susceptible-Highly Susceptible
0.0,0.0,0.9,0.2881783236787997,Immune-Susceptible
0.0,0.0,0.9,0.544572771656345,Immune-Highly Susceptible
0.0,0.0,0.9,0.48850747481354484,Susceptible-Highly Susceptible
0.0,0.0,0.95,0.4193753066020829,Immune-Susceptible
0.0,0.0,0.95,0.667220447090843,Immune-Highly Susceptible
0.0,0.0,0.95,0.5000384103059697,Susceptible-Highly Susceptible
0.0,0.0,1.0,0.462636864223941,Immune-Susceptible
0.0,0.0,1.0,0.7833355834937418,Immune-Highly Susceptible
0.0,0.0,1.0,0.8273919464103887,Susceptible-Highly Susceptible
0.0,0.05,0.0,0.12872920237907956,Immune-Susceptible
0.0,0.05,0.0,0.26422888947278456,Immune-Highly Susceptible
0.0,0.05,0.0,0.26384403891953223,Susceptible-Highly Susceptible
0.0,0.05,0.05,0.11562491184434544,Immune-Susceptible
0.0,0.05,0.05,0.28870187146331444,Immune-Highly Susceptible
0.0,0.05,0.05,0.2845706343282837,Susceptible-Highly Susceptible
0.0,0.05,0.1,0.12945521380306466,Immune-Susceptible
0.0,0.05,0.1,0.25248334928085614,Immune-Highly Susceptible
0.0,0.05,0.1,0.2468635194596283,Susceptible-Highly Susceptible
0.0,0.05,0.15,0.1168400456513952,Immune-Susceptible
0.0,0.05,0.15,0.2664640556150718,Immune-Highly Susceptible
0.0,0.05,0.15,0.26345503770614487,Susceptible-Highly Susceptible
0.0,0.05,0.2,0.11814295292401043,Immune-Susceptible
0.0,0.05,0.2,0.2632322536627785,Immune-Highly Susceptible
0.0,0.05,0.2,0.26248306177097436,Susceptible-Highly Susceptible
0.0,0.05,0.25,0.13343431972006276,Immune-Susceptible
0.0,0.05,0.25,0.30225643576456585,Immune-Highly Susceptible
0.0,0.05,0.25,0.29829324736969626,Susceptible-Highly Susceptible
